Fill,Beam E,Start T,Stop T,Blue P_0,Blue dP/dT,Yellow P_0,Yellow dP/dT,Yellow dP/dT Error,Yellow P_0 Error,Blue dP/dT Error,Blue P_0 Error,Duration,Yellow P_f,Blue P_f,Yellow P_avg,Blue P_avg
34609,100,2024-06-11 15:06:14,2024-06-11 19:41:16,48.71,0.39,51.32,-0.76,0.51,2.13,0.53,2.09,16502.0,49.53213664888889,49.58079678833333,50.426068324444444,49.14539839416666
34610,100,2024-06-11 20:53:08,2024-06-11 20:55:28,48.6,-0.18,46.1,-0.04,0.74,2.54,0.54,2.46,140.0,46.099282888888894,48.596598,46.099641444444444,48.598299
34611,100,2024-06-11 22:09:40,2024-06-11 22:10:18,49.33,-0.18,47.52,-0.04,0.74,2.62,0.54,3.57,38.0,47.51979936000001,49.32906273,47.51989968000001,49.329531364999994
34612,100,1970-01-01 00:00:00,1970-01-01 00:00:00,48.43,-0.18,47.97,-0.04,0.74,2.68,0.54,2.53,0.0,47.97,48.43,47.97,48.43
34613,100,2024-06-12 00:43:20,2024-06-12 00:43:55,49.43,-0.18,48.61,-0.04,0.74,2.77,0.54,2.81,35.0,48.60981096111111,49.429134975,48.609905480555554,49.429567487499995
34614,100,2024-06-12 01:55:50,2024-06-12 13:52:30,51.81,0.02,54.1,-0.08,0.18,1.67,0.19,1.83,43000.0,53.58304444444445,51.93376833333334,53.841522222222224,51.871884166666675
34644,100,1970-01-01 00:00:00,1970-01-01 00:00:00,56.18,-0.18,59.13,-0.04,0.74,2.66,0.54,2.95,0.0,59.13,56.18,59.13,56.18
34646,100,2024-06-16 15:43:30,2024-06-17 02:05:47,53.42,0.14,59.37,-1.05,0.23,2.04,0.24,2.06,37337.0,52.904631737500004,54.19565543222222,56.13731586875,53.807827716111106
34647,100,2024-06-17 03:24:22,2024-06-17 11:05:15,54.46,0.26,56.74,-0.11,0.29,2.07,0.3,2.25,27653.0,56.260573793888895,55.54765394111111,56.500286896944445,55.00382697055555
34648,100,2024-06-17 12:24:29,2024-06-17 19:03:48,44.83,0.09,51.73,-0.31,0.34,1.84,0.34,1.69,23959.0,50.66273968972222,45.09852049249999,51.19636984486111,44.96426024624999
34649,100,1970-01-01 00:00:00,1970-01-01 00:00:00,48.51,-0.18,53.61,-0.04,0.74,2.55,0.54,2.72,0.0,53.61,48.51,53.61,48.51
34651,100,1970-01-01 00:00:00,1970-01-01 00:00:00,49.76,-0.18,54.74,-0.04,0.74,2.79,0.54,2.37,0.0,54.74,49.76,54.74,49.76
34652,100,2024-06-18 06:07:38,2024-06-18 07:02:49,54.51,-0.18,51.54,-0.04,0.74,2.35,0.54,2.49,3311.0,51.52103900666667,54.419758695,51.53051950333334,54.4648793475
34654,100,2024-06-18 10:48:54,2024-06-18 10:50:00,51.77,-0.18,58.93,-0.04,0.74,2.94,0.54,2.76,66.0,58.929567846666664,51.768291590000004,58.92978392333333,51.769145795
34655,100,2024-06-18 12:04:14,2024-06-18 14:45:17,56.84,-0.44,54.43,1.12,0.91,2.3,0.86,2.21,9663.0,56.06631094666666,56.16870065333333,55.24815547333333,56.50435032666667
34660,100,1970-01-01 00:00:00,1970-01-01 00:00:00,52.84,-0.18,55.36,-0.04,0.74,2.96,0.54,2.82,0.0,55.36,52.84,55.36,52.84
34662,100,1970-01-01 00:00:00,1970-01-01 00:00:00,56.14,-0.18,60.28,-0.04,0.74,2.66,0.54,2.58,0.0,60.28,56.14,60.28,56.14
34663,100,2024-06-19 07:52:37,2024-06-19 07:53:13,57.67,-0.18,60.21,-0.04,0.74,2.65,0.54,2.89,36.0,60.20975916,57.66896194,60.20987958,57.66948097
34664,100,2024-06-19 09:06:10,2024-06-19 14:28:52,60.83,-0.81,61.89,0.38,0.49,2.26,0.47,2.38,19362.0,63.15488719,58.179971465,62.522443595,59.5049857325
